state,account length,area code,phone number,international plan,number vmail messages,total day minutes,total day calls,total eve minutes,total eve calls,total night minutes,total night calls,total intl minutes,total intl calls,customer service calls,churn
26,54,408,3209,0,0,134.3,73,155.5,100,102.1,68,14.7,4,3,0
24,20,415,930,0,0,190.0,109,258.2,84,181.5,102,6.3,6,0,0
11,49,510,2952,0,0,119.3,117,215.1,109,178.7,90,11.1,1,1,0
14,142,415,3140,0,0,84.8,95,136.7,63,250.5,148,14.2,6,2,0
30,75,510,1529,0,0,226.1,105,201.5,107,246.2,98,10.3,5,1,0
18,172,408,1947,0,0,212.0,121,31.2,115,293.3,78,12.6,10,3,0
3,12,408,1185,0,0,249.6,118,252.4,119,280.2,90,11.8,3,1,1
36,57,408,2384,0,25,176.8,94,195.0,75,213.5,116,8.3,4,0,0
10,72,415,1247,0,37,220.0,80,217.3,102,152.8,71,14.7,6,3,0
0,36,408,517,0,30,146.3,128,162.5,80,129.3,109,14.5,6,0,0
19,78,415,936,0,0,130.8,64,223.7,116,227.8,108,10.0,5,1,0
0,136,415,2619,1,33,203.9,106,187.6,99,101.7,107,10.5,6,3,0
31,149,408,189,0,0,140.4,94,271.8,92,188.3,108,11.1,9,1,0
10,98,408,1610,0,0,126.3,102,166.8,85,187.8,135,9.4,2,3,0
20,135,408,1966,1,41,173.1,85,203.9,107,122.2,78,14.6,15,0,1
2,34,510,956,0,0,124.8,82,282.2,98,311.5,78,10.0,4,2,0
13,160,415,2215,0,0,85.8,77,165.3,110,178.5,92,9.2,4,3,0
48,64,510,877,0,0,154.0,67,225.8,118,265.3,86,3.5,3,1,0
37,59,408,932,0,28,120.9,97,213.0,92,163.1,116,8.5,5,2,0
22,65,415,1303,0,0,211.3,120,162.6,122,134.7,118,13.2,5,3,0
8,142,408,1321,0,0,187.0,133,134.6,74,242.2,127,7.4,5,2,0
13,119,415,2479,0,0,159.1,114,231.3,117,143.2,91,8.8,3,5,1
50,97,415,2757,0,24,133.2,135,217.2,58,70.6,79,11.0,3,1,0
12,52,408,3034,0,0,191.9,108,269.8,96,236.8,87,7.8,5,3,0
15,60,408,3267,0,0,220.6,57,211.1,115,249.0,129,6.8,3,1,0
45,10,408,791,0,0,186.1,112,190.2,66,282.8,57,11.4,6,2,0
44,96,415,2696,0,0,160.2,117,267.5,67,228.5,68,9.3,5,2,0
50,87,415,940,0,0,151.0,83,219.7,116,203.9,127,9.7,3,5,1
15,81,408,1306,0,0,175.5,67,249.3,85,270.2,98,10.2,3,1,0
5,141,415,465,0,0,126.9,98,180.0,62,140.8,128,8.0,2,1,0
5,121,408,1541,0,30,198.4,129,75.3,77,181.2,77,5.8,3,3,1
48,68,415,2687,0,0,148.8,70,246.5,164,129.8,103,12.1,3,3,0
36,125,408,1032,0,0,229.3,103,177.4,126,189.3,95,12.0,8,1,0
13,174,408,1162,0,0,192.1,97,169.9,94,166.6,54,11.4,4,1,0
4,116,415,2736,0,34,268.6,83,178.2,142,166.3,106,11.6,3,2,0
23,74,510,603,0,33,193.7,91,246.1,96,138.0,92,14.6,3,2,0
41,149,408,183,0,28,180.7,92,187.8,64,265.5,53,12.6,3,3,0
27,38,408,1153,0,0,131.2,98,162.9,97,159.0,106,8.2,6,2,0
47,40,415,915,0,41,148.1,74,169.5,88,214.1,102,6.2,5,2,0
50,43,415,87,1,0,251.5,105,212.8,104,157.8,67,9.3,4,0,0
23,113,408,1370,1,0,125.2,93,206.4,119,129.3,139,8.3,8,0,0
44,126,408,419,0,0,211.6,70,216.9,80,153.5,60,7.8,1,1,0
43,150,510,1665,0,0,178.9,101,169.1,110,148.6,100,13.8,3,4,1
31,138,408,1145,0,0,241.8,93,170.5,83,295.3,104,11.8,7,3,0
23,162,510,3041,0,46,224.9,97,188.2,84,254.6,61,12.1,2,0,0
32,147,510,3084,0,0,248.6,83,148.9,85,172.5,109,8.0,4,3,0
33,90,415,2520,0,0,203.4,146,226.7,117,152.4,105,7.3,4,1,0
11,85,415,1263,0,0,235.8,109,157.2,94,188.2,99,12.0,3,0,0
23,50,415,835,0,0,157.1,90,223.3,72,181.4,111,6.1,2,1,0
7,82,415,1657,0,0,300.3,109,181.0,100,270.1,73,11.7,4,0,1
34,144,408,1182,0,0,61.6,117,77.1,85,173.0,99,8.2,7,4,1
23,46,415,1037,0,0,214.1,72,164.4,104,177.5,113,8.2,3,2,0
20,70,408,192,0,0,170.2,98,155.2,102,228.6,76,15.0,2,1,0
49,144,415,983,0,0,201.1,99,303.5,74,224.0,119,13.2,2,1,0
37,116,415,139,1,0,215.4,104,204.8,79,278.5,109,12.6,5,3,0
5,55,408,3232,0,25,165.6,123,136.1,95,175.7,90,11.0,2,3,0
10,70,415,2959,0,24,249.5,101,259.7,98,222.7,68,9.8,4,1,0
43,106,510,2385,0,0,210.6,96,249.2,85,191.4,88,12.4,1,2,1
46,128,510,2144,0,29,179.3,104,225.9,86,323.0,78,8.6,7,0,0
15,94,408,2618,0,0,157.9,105,155.0,101,189.6,84,8.0,5,4,1
49,111,510,3019,0,0,214.3,118,208.5,76,182.4,98,12.0,2,1,0
17,74,415,686,0,35,154.1,104,123.4,84,202.1,57,10.9,9,2,0
31,128,415,1142,0,0,237.9,125,247.6,93,208.9,68,13.9,4,1,1
7,82,510,2580,0,0,143.9,61,194.9,105,109.6,94,11.1,2,1,0
18,155,415,237,0,0,203.4,100,190.9,104,196.0,119,8.9,4,0,1
2,80,415,462,0,0,124.3,100,173.0,107,253.2,62,7.9,9,1,0
21,78,415,2579,0,0,252.9,93,178.4,112,263.9,105,9.5,7,3,0
3,90,415,2122,0,0,179.1,71,190.6,81,127.7,91,10.6,7,3,0
0,104,408,1389,0,0,278.4,106,81.0,113,163.2,137,9.8,5,1,0
26,73,415,1530,0,0,160.1,110,213.3,72,174.1,72,13.0,4,0,0
3,99,415,5,0,0,198.2,87,207.3,76,190.9,113,8.7,3,4,0
25,120,408,1025,0,0,212.1,131,209.4,104,167.2,96,5.3,5,1,1
13,77,415,1279,0,0,251.8,72,205.7,126,275.2,109,9.8,7,2,1
12,98,510,1834,0,21,161.2,114,252.2,83,160.2,92,4.4,8,4,0
19,108,415,722,0,0,178.3,137,189.0,76,129.1,102,14.6,5,0,0
46,135,415,977,0,0,151.7,82,119.0,105,180.0,100,10.5,6,0,0
17,95,408,2610,0,0,135.0,99,183.6,106,245.3,102,12.5,9,1,0
15,122,408,2453,0,0,170.5,94,173.7,109,248.6,75,11.3,2,1,0
3,95,408,243,0,0,238.1,65,187.2,98,190.0,115,11.8,4,4,0
22,36,510,2555,0,29,281.4,102,202.2,76,187.2,113,9.0,6,2,0
32,93,510,1960,0,21,117.9,131,164.5,115,217.0,86,9.8,3,1,0
5,141,415,1566,0,32,148.6,91,131.1,97,219.4,142,10.1,1,1,0
44,157,408,2664,0,0,229.8,90,147.9,121,241.4,108,9.6,7,3,0
22,120,408,2904,0,0,165.0,100,317.2,83,119.2,86,8.3,8,1,0
19,103,415,367,0,0,185.0,117,223.3,94,222.8,91,12.6,2,2,0
1,98,408,1949,0,0,161.0,117,190.9,113,227.7,113,12.1,4,4,0
8,125,408,1179,0,0,126.7,108,206.0,90,247.8,114,13.3,7,1,0
3,63,415,2835,0,0,58.9,125,169.6,59,211.4,88,9.4,3,1,0
21,36,510,1281,1,42,196.8,89,254.9,122,138.3,126,20.0,6,0,1
31,64,510,2240,0,0,162.6,83,152.3,109,57.5,122,14.2,3,1,0
33,74,415,1030,0,0,282.5,114,219.9,48,170.0,115,9.4,4,1,1
24,112,510,2894,0,36,113.7,117,157.5,82,177.6,118,10.0,3,2,0
13,97,408,29,0,0,239.8,125,214.8,111,143.3,81,8.7,5,2,0
29,46,408,908,0,0,210.2,92,227.3,77,200.1,116,13.1,7,1,0
43,41,408,1539,0,22,213.8,102,141.8,86,142.2,123,7.2,3,0,0
20,121,510,1500,0,0,190.7,103,183.5,117,220.8,103,9.8,4,3,0
25,193,415,61,0,0,170.9,124,132.3,95,112.9,89,11.6,3,1,0
33,130,510,2866,0,0,154.2,119,110.2,98,227.4,117,9.2,5,2,0
3,85,408,980,0,0,201.4,52,229.4,104,252.5,106,12.0,3,1,0
25,162,415,292,0,0,70.7,108,157.5,87,154.8,82,9.1,3,4,1
25,61,510,3072,0,27,187.5,124,146.6,103,225.7,129,6.4,6,4,1
43,92,408,2912,0,0,91.7,90,193.7,123,175.0,86,9.2,4,2,0
29,131,408,130,0,36,214.2,115,161.7,117,264.7,102,9.5,4,3,0
29,90,415,954,0,0,145.5,92,217.7,114,146.9,123,10.9,2,3,0
4,75,408,1015,0,0,166.3,125,158.2,86,256.7,80,6.1,5,1,0
31,78,415,2212,0,0,231.0,115,230.4,140,261.4,120,9.5,3,1,0
43,82,408,2553,0,0,200.3,96,201.2,102,206.1,60,7.1,1,4,0
2,163,408,2979,0,0,197.0,109,202.6,128,206.4,80,9.1,10,1,0
1,91,510,2110,1,0,129.9,112,173.3,83,247.2,130,11.2,3,3,0
34,75,415,1668,0,21,175.8,97,217.5,106,237.5,134,5.3,4,5,0
9,91,510,1831,0,0,203.1,106,210.1,113,195.6,129,12.0,3,3,0
0,127,510,655,0,36,183.2,117,126.8,76,263.3,71,11.2,8,1,0
33,113,415,3327,0,23,205.0,101,152.0,60,158.6,59,10.2,5,2,0
8,110,510,669,0,0,148.5,115,276.4,84,193.6,112,12.4,3,1,0
20,120,415,1653,0,39,200.3,68,220.4,97,253.8,116,10.5,4,0,0
22,157,415,1903,0,28,192.6,107,195.5,74,109.7,139,6.8,5,3,0
46,103,510,2198,0,0,246.5,47,195.5,84,200.5,96,11.7,4,1,0
46,117,408,2195,1,0,167.1,86,177.5,87,249.4,132,14.1,7,2,1
22,140,415,3250,0,0,231.9,101,160.1,94,110.4,98,14.3,6,3,0
47,127,408,2085,0,0,146.7,91,203.5,78,203.4,110,13.7,3,1,0
44,83,408,1859,1,0,271.5,87,216.3,126,121.1,105,11.7,4,1,0
18,121,408,2221,0,0,181.5,121,218.4,98,161.6,103,8.5,5,1,0
39,145,408,1398,0,43,257.7,97,162.1,95,286.9,86,11.1,4,2,0
12,113,408,2390,0,0,193.8,99,221.4,125,172.3,67,10.6,6,1,0
29,117,415,975,0,0,102.8,119,206.7,91,299.0,105,10.1,7,1,0
35,65,408,341,0,0,187.9,116,157.6,117,227.3,86,7.5,6,1,0
39,56,415,1968,0,0,226.0,112,248.5,118,140.5,142,6.9,11,1,0
36,96,415,1258,0,0,260.4,115,146.0,46,269.5,87,11.5,4,5,0
18,151,408,2590,0,0,178.7,116,292.1,138,265.9,101,9.8,4,0,0
35,83,415,1549,0,0,337.4,120,227.4,116,153.9,114,15.8,7,0,1
45,139,510,35,0,23,157.6,129,247.0,96,259.2,112,13.7,2,0,0
24,6,510,840,0,0,183.6,117,256.7,72,178.6,79,10.2,2,1,0
9,115,510,857,0,24,142.1,124,183.4,129,164.8,114,9.6,4,1,0
40,87,415,1199,0,0,136.3,97,172.2,108,137.5,101,7.1,5,0,0
45,141,415,3173,0,0,217.1,110,241.5,111,253.5,103,12.0,6,0,0
12,141,510,2791,0,36,187.5,99,241.4,116,229.5,105,10.5,5,3,0
22,62,415,2919,0,0,98.9,103,135.4,122,236.6,82,12.2,1,1,0
36,146,415,290,0,0,206.3,151,148.6,89,167.2,91,6.1,3,1,0
8,92,415,1244,0,33,243.1,92,213.8,92,228.7,104,12.1,2,2,0
10,185,510,1392,0,31,189.8,126,163.3,133,264.8,126,7.5,3,1,0
7,148,415,83,0,0,202.0,102,243.2,128,261.3,90,10.9,3,1,0
3,94,408,2218,0,38,170.1,124,193.3,116,105.9,73,12.8,4,1,0
1,32,510,2717,0,0,230.9,87,187.4,90,154.0,53,6.3,2,0,0
5,68,408,418,0,0,237.1,105,223.5,105,97.4,79,13.2,2,1,0
30,64,408,2338,0,27,182.1,91,169.7,98,164.7,86,10.6,5,2,0
32,25,415,1894,0,0,119.3,87,211.5,101,268.9,86,10.5,4,3,0
37,65,415,2454,0,0,116.8,87,178.9,93,182.4,150,14.1,2,1,0
18,179,408,3081,0,0,219.2,92,149.4,125,244.7,104,6.1,5,0,0
29,94,415,1746,0,0,252.6,104,169.0,125,170.9,106,11.1,7,2,0
23,62,415,2896,0,0,147.1,91,190.4,107,195.2,115,12.2,3,0,0
22,127,415,2587,0,0,202.1,103,229.4,86,195.2,113,11.5,3,2,0
2,116,408,2749,0,0,173.5,93,194.1,76,208.0,112,16.2,10,3,0
16,70,408,2969,0,0,232.1,122,292.3,112,201.2,112,0.0,0,3,0
49,94,510,1023,1,23,197.1,125,214.5,136,282.2,103,9.5,5,4,0
0,126,415,1590,0,0,58.2,94,138.7,118,136.8,91,11.9,1,5,1
34,67,408,2732,0,36,115.6,111,237.7,94,169.9,103,9.9,12,2,0
30,19,408,1224,0,0,186.1,98,254.3,57,214.0,127,14.6,7,2,0
45,170,510,811,1,0,259.9,68,245.0,122,134.4,121,8.4,3,3,0
32,73,415,198,0,0,214.3,145,268.5,135,241.2,92,10.8,13,1,0
34,106,408,3314,0,0,158.7,74,64.3,139,198.5,103,10.2,4,1,0
3,93,415,2535,0,0,271.6,71,229.4,108,77.3,121,10.9,3,2,0
50,164,510,1626,0,0,160.6,111,163.2,126,187.1,112,9.0,3,1,0
47,51,408,402,0,0,232.4,109,187.4,95,231.2,107,9.1,3,1,0
5,107,415,3203,0,0,133.8,85,180.5,94,112.2,115,8.9,4,0,0
43,130,415,1158,0,0,176.9,109,90.7,104,238.0,69,9.5,2,1,0
17,80,408,1683,0,0,209.9,74,195.1,77,208.2,119,8.8,4,2,0
26,94,415,2840,0,0,137.5,118,203.2,88,150.0,131,13.4,2,0,0
36,118,408,2883,0,23,289.5,52,166.6,111,119.1,88,9.5,4,1,0
20,117,415,2047,0,23,198.1,86,177.0,86,180.5,92,6.8,6,1,0
42,78,415,178,0,0,149.7,119,182.2,115,261.5,126,9.7,8,0,0
43,208,510,1785,0,0,326.5,67,176.3,113,181.7,102,10.7,6,2,1
21,131,510,957,1,26,292.9,101,199.7,97,255.3,127,13.8,7,4,1
7,63,408,2531,0,0,83.0,64,177.0,106,245.7,89,13.0,3,0,0
23,53,415,1124,0,24,145.7,146,220.5,136,249.9,96,13.1,5,3,0
8,62,408,1776,0,0,182.3,101,328.2,93,245.0,131,11.2,1,2,0
20,97,415,2450,0,0,218.0,86,184.0,94,240.5,110,6.4,8,3,0
22,105,510,1419,0,0,140.6,109,178.6,51,217.0,83,6.8,3,2,0
47,157,415,511,0,0,152.7,105,257.5,80,198.1,93,9.4,4,1,0
24,66,415,448,0,36,106.7,76,209.8,77,190.4,117,12.1,2,1,0
15,122,415,597,0,0,243.8,98,83.9,72,179.8,84,13.7,8,2,0
37,38,415,1695,0,0,194.4,94,186.7,95,223.3,90,10.8,5,3,0
20,106,510,2864,0,0,213.9,95,151.9,70,260.1,124,12.2,5,3,0
39,99,510,2068,0,0,217.2,112,246.7,89,226.1,89,15.8,7,3,0
18,99,415,2962,0,0,241.1,72,155.6,98,188.2,109,11.6,10,1,0
3,144,510,688,1,0,203.5,100,247.6,103,194.3,94,11.9,11,0,0
38,82,415,212,0,24,155.2,131,244.5,106,122.4,68,10.7,3,1,0
3,86,408,2727,0,31,167.6,139,113.0,118,246.9,121,12.2,6,1,0
9,70,510,1397,1,0,226.7,98,228.1,115,73.2,93,17.6,4,2,1
18,93,415,382,0,0,179.3,93,178.6,98,225.2,131,11.5,6,3,0
9,93,415,36,0,0,151.4,89,186.4,76,172.5,120,10.9,3,0,0
9,120,415,1877,0,0,180.0,80,224.2,82,265.4,91,4.7,7,3,0
20,136,415,1673,0,0,250.2,121,267.1,118,151.0,114,13.0,2,1,1
1,106,415,1051,0,0,223.0,121,110.1,98,188.7,107,7.1,12,0,0
47,81,415,3326,0,0,183.6,116,152.6,98,212.2,99,12.2,6,3,0
42,127,408,310,0,22,166.0,114,174.5,103,244.9,68,10.2,6,1,0
25,65,415,551,0,0,136.1,112,272.9,96,220.2,104,4.4,2,1,0
21,35,408,640,0,0,149.3,113,242.2,122,174.3,104,8.9,6,2,0
36,88,408,411,0,0,65.4,97,168.2,76,236.0,113,13.8,1,2,0
15,65,415,2159,0,0,213.4,111,234.5,94,250.1,123,2.7,4,1,0
24,123,415,2641,0,0,206.9,85,244.7,78,221.5,136,7.7,2,3,0
12,126,408,2674,0,27,186.2,78,189.6,83,76.5,139,9.6,3,2,0
45,104,415,2100,0,23,280.2,136,220.5,92,136.9,102,13.3,3,4,0
17,45,415,1795,0,22,196.6,84,313.2,92,163.3,108,11.9,3,0,0
20,93,408,1195,1,0,312.0,109,129.4,100,217.6,74,10.5,2,0,1
35,63,415,2932,1,36,199.0,110,291.3,111,197.6,92,11.0,6,1,0
36,100,415,884,0,0,203.1,96,217.0,126,180.9,122,13.5,2,3,0
33,53,415,10,0,0,168.8,97,220.3,87,154.3,113,10.9,2,0,0
13,92,415,1164,1,0,173.1,140,240.3,105,233.2,117,9.0,5,1,0
23,139,510,1669,0,0,134.4,106,211.3,98,193.6,125,10.2,2,5,1
41,110,408,1094,0,40,202.6,103,118.8,128,234.9,98,9.0,9,2,0
14,110,408,1393,0,0,74.5,117,200.8,98,192.2,101,9.8,7,3,0
50,215,510,2333,0,0,83.6,148,120.9,91,226.6,110,10.7,9,0,0
1,73,415,1038,0,0,192.2,86,168.6,116,139.8,87,9.4,6,1,0
31,138,510,2563,0,0,220.2,89,88.3,125,195.3,79,12.9,5,0,0
33,137,415,386,1,0,135.1,95,134.1,102,223.1,81,12.3,2,2,1
15,36,415,2767,0,0,253.4,77,182.4,151,275.8,103,8.4,2,1,0
49,85,408,328,0,0,225.0,81,176.9,63,194.3,110,7.1,2,3,0
45,108,408,275,0,0,198.5,99,267.8,60,354.9,75,9.4,3,0,1
40,22,408,131,0,0,110.3,107,166.5,93,202.3,96,9.5,5,0,0
39,107,415,2051,0,37,60.0,102,102.2,80,261.8,106,11.1,3,0,0
15,51,510,734,0,0,214.8,94,149.7,58,283.4,66,10.2,5,0,0
3,94,408,996,0,0,181.8,85,202.4,98,245.9,97,9.2,2,4,0
32,119,510,778,0,23,154.0,114,278.0,137,228.4,112,11.8,4,2,0
37,33,415,1850,0,29,157.4,99,117.9,80,279.2,79,13.9,11,4,1
31,106,415,1350,0,0,207.9,91,172.0,109,191.8,143,14.4,7,4,0
25,82,408,649,0,0,207.0,90,232.9,83,172.4,108,9.1,8,3,0
22,86,510,784,0,41,119.0,101,230.0,134,236.9,58,9.5,3,0,0
43,97,415,2960,1,0,143.7,117,273.0,82,178.3,81,10.9,3,0,0
9,106,408,2029,0,32,165.9,126,216.5,93,173.1,86,14.1,8,4,0
7,108,510,1761,0,0,138.6,122,172.3,117,231.6,92,9.8,3,1,0
43,114,415,521,0,0,84.7,118,249.9,86,193.4,95,14.5,8,1,0
16,92,408,2073,1,0,62.6,111,180.6,126,221.7,80,10.4,2,1,1
44,59,510,3021,0,0,155.2,79,235.3,123,169.4,80,8.7,4,1,0
23,24,510,2423,0,25,164.9,110,209.3,105,231.2,55,6.7,9,1,0
14,151,408,245,0,0,134.5,88,143.1,112,223.9,61,15.4,1,1,0
32,117,415,456,0,0,143.3,103,211.3,108,185.2,96,11.5,3,1,0
40,78,510,1770,0,0,168.3,110,221.2,73,241.0,136,12.5,1,1,0
27,155,408,3163,0,0,262.4,55,194.6,113,146.5,85,8.3,6,2,0
49,114,510,3183,0,30,206.2,79,260.0,91,291.6,83,11.4,6,1,0
39,114,510,2996,0,28,225.8,94,193.0,117,232.4,100,8.4,9,4,0
30,119,408,3262,0,0,138.3,89,170.5,78,263.9,98,13.5,6,3,0
24,64,510,2162,0,48,94.4,104,136.2,101,147.4,89,4.5,4,0,0
19,118,408,583,1,0,160.0,123,175.4,96,184.8,99,9.9,3,2,0
38,101,415,2930,0,0,206.6,105,224.9,117,249.9,100,14.6,3,0,0
36,117,415,612,0,0,134.7,121,180.0,83,200.9,104,7.7,3,1,0
1,49,415,135,0,28,214.4,78,235.2,100,206.2,107,8.0,13,3,0
50,139,415,374,0,0,192.8,104,234.4,96,203.2,101,13.0,3,3,0
38,92,408,449,0,28,151.1,90,194.8,79,239.2,114,10.0,3,1,0
47,83,415,1496,0,0,221.4,103,231.8,103,122.5,100,9.8,5,3,0
11,148,510,3120,1,0,218.9,88,208.0,85,203.3,99,11.1,4,0,0
41,144,408,429,0,48,189.8,96,123.4,67,214.2,106,6.5,2,2,1
1,131,415,1236,0,25,192.7,85,225.9,105,254.2,59,10.9,6,2,0
46,146,510,1021,1,0,204.4,135,219.1,90,222.7,114,10.5,6,3,0
26,143,415,2123,0,0,172.3,97,174.0,108,188.2,119,13.0,4,2,0
23,81,415,1488,0,0,198.4,93,210.9,108,193.3,71,10.4,6,2,0
0,48,415,2183,0,37,211.7,115,159.9,84,144.1,80,12.2,1,1,0
22,86,415,1545,0,28,221.6,74,288.4,100,240.3,105,9.0,2,1,0
8,71,415,1266,0,0,197.9,108,181.5,109,281.4,56,6.7,5,3,0
41,145,408,2998,0,24,147.5,90,175.7,108,252.1,102,15.6,3,2,0
22,137,510,1044,0,0,206.4,122,128.0,102,194.5,84,8.8,5,2,0
16,137,408,913,0,0,205.9,88,209.3,86,289.9,84,14.5,4,2,0
1,167,510,296,0,0,207.6,88,132.4,63,255.2,98,14.1,5,0,0
36,89,510,907,0,0,303.9,95,260.9,114,312.1,89,5.3,3,1,1
6,199,415,2321,0,34,230.6,121,219.4,99,299.3,94,8.0,2,0,0
29,132,510,276,0,0,99.5,110,129.1,80,125.1,124,9.7,3,0,0
48,94,510,1031,0,0,177.1,112,194.0,112,146.7,108,5.9,4,1,0
6,96,415,2118,0,37,172.7,93,120.1,116,216.1,86,10.3,5,5,1
48,96,510,557,0,18,172.7,86,133.4,113,259.5,70,9.8,3,1,0
15,166,510,826,0,0,204.2,115,179.9,152,216.8,109,9.5,5,1,0
7,74,415,1558,0,0,85.7,83,247.7,67,142.4,85,10.1,5,2,0
2,36,415,694,0,0,157.6,117,184.3,58,240.4,99,11.9,1,0,0
21,113,415,2490,0,0,215.5,129,218.7,117,207.1,91,6.6,9,4,0
23,94,415,3008,0,0,181.5,98,199.9,88,287.7,114,6.6,5,1,0
20,67,415,90,0,0,171.7,80,110.4,81,195.4,111,11.9,4,2,0
9,127,415,3115,0,0,266.6,106,264.8,168,207.2,119,5.9,2,1,1
39,121,408,73,0,0,170.4,108,350.5,68,297.0,87,11.2,3,0,1
12,158,415,1204,0,0,158.0,106,292.5,114,241.1,89,9.1,4,1,0
3,136,510,2754,0,0,92.0,117,253.6,77,214.1,90,10.3,10,1,0
24,196,415,2297,0,0,234.0,109,249.5,114,173.1,70,9.1,5,2,0
46,113,415,3229,0,0,272.1,111,268.5,118,213.8,105,8.5,10,1,1
15,122,408,322,0,0,296.4,99,214.8,89,133.9,107,11.4,3,4,1
39,112,510,495,0,0,194.4,101,190.3,82,183.4,107,11.4,2,0,0
41,209,415,3037,0,0,227.2,128,258.4,92,183.5,74,8.9,4,3,0
23,62,415,1407,0,0,248.7,109,220.0,118,265.7,78,13.2,2,1,1
43,110,415,2537,0,38,236.3,102,195.9,112,183.5,82,9.7,6,1,0
45,16,510,1453,0,0,205.6,69,169.5,93,220.1,64,10.9,3,0,0
19,73,408,1202,0,0,94.1,136,280.3,122,205.0,77,9.8,4,0,0
13,128,408,1161,0,0,125.2,99,205.4,107,254.4,111,18.9,2,0,0
19,39,408,156,0,0,60.4,158,306.2,120,123.9,46,12.4,3,1,0
10,103,415,1912,0,28,121.0,105,270.4,100,160.5,76,7.7,4,2,0
39,119,415,59,0,29,117.8,66,256.8,114,147.6,76,7.6,3,3,0
13,173,510,1304,0,21,232.4,96,211.9,118,273.0,102,5.0,5,3,0
41,128,510,3046,1,32,223.5,81,188.8,74,154.9,101,9.4,2,2,1
19,86,510,113,0,0,176.3,79,259.2,97,287.4,78,6.2,3,0,0
50,114,415,2678,0,32,125.2,79,177.8,105,232.4,89,12.9,3,1,0
45,104,408,1192,0,0,138.7,107,256.9,113,234.9,74,10.0,3,0,0
37,148,415,2346,0,0,86.3,134,246.6,92,251.6,91,11.3,4,1,0
45,129,408,1989,0,0,207.0,91,154.9,121,245.1,112,13.4,5,3,0
21,100,510,1175,0,30,58.8,104,219.5,107,152.3,118,7.1,3,0,0
1,121,408,143,0,35,68.7,95,209.2,69,197.4,42,11.4,4,1,0
10,143,408,1157,0,33,239.2,109,235.5,112,156.3,95,9.5,4,1,0
12,76,510,121,0,0,198.3,130,217.1,86,188.4,96,12.5,3,0,0
3,158,510,1250,0,0,205.2,97,240.6,77,79.7,108,14.4,12,0,0
9,116,510,412,0,0,192.1,98,312.9,135,130.2,94,7.9,2,3,0
26,54,415,2116,0,0,272.6,83,248.7,74,197.4,111,9.5,2,1,1
1,86,415,1858,0,0,128.3,121,197.1,93,138.4,152,12.2,5,7,1
8,108,510,1368,0,0,169.6,99,264.1,87,206.3,78,9.3,4,0,0
26,66,510,2828,0,0,201.3,95,152.8,66,233.2,101,7.5,4,1,0
17,151,408,2436,0,17,214.7,97,138.5,90,169.1,44,8.6,4,1,0
40,99,510,2451,0,0,169.2,70,271.5,77,170.2,104,10.6,2,0,0
47,55,415,194,0,0,194.1,121,176.6,110,302.8,136,7.0,7,2,0
37,77,510,2922,0,0,233.8,104,266.5,94,212.7,104,7.6,3,2,0
0,78,408,326,0,0,225.1,67,199.2,127,175.5,102,14.6,2,0,0
